                  螺纹主连 (RBL8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      时间,    开盘,    最高,    最低,    收盘,         成交量,EXPMA1.EXP0  ,EXPMA1.EXP1  ,EXPMA1.EXP2  ,EXPMA1.EXP3  ,EXPMA1.EXP4  ,EXPMA1.      ,EXPMA1.      ,EXPMA1.      ,EXPMA1.      ,EXPMA1.      ,EXPMA1.      ,EXPMA1.      ,EXPMA1.      ,EXPMA1.      , VOL1.VOLUME, VOL1.MAVOL1, VOL1.MAVOL2, VOL1.MAVOL3, VOL1.LB    , VOL1.FZFL  , VOL1.分布  , VOL1.      , VOL1.      , VOL1.      , VOL1.      , VOL1.      ,LH_RQ.REDIAN,LH_RQ.GWANG ,LH_RQ.FL    ,LH_RQ.SL    ,LH_RQ.NORMAL,LH_DKCD.多头长度_S,LH_DKCD.多头长度,LH_DKCD.多头长度_L,LH_DKCD.空头长度_S,LH_DKCD.空头长度,LH_DKCD.空头长度_L,LH_KL.多头  ,LH_KL.空头  ,LH_KL.靠拢  ,TTEST.多头  ,TTEST.空头  ,LH_KT.空进攻,LH_KT.空调整,LH_KT.空中继34,LH_KT.空中继23,LH_KT.空中继12,LH_KT.抽MA4 ,LH_KT.抽MA3 ,LH_KT.抽MA2 ,LH_KT.抽MA1 ,LH_KT.超买  ,LH_KT.超买L ,LH_KT.反弹初,LH_KT.反弹中,LH_BSP.LABEL_BSP,LH_BSP.弱势  ,LH_DF_SLP.DF01  ,LH_DF_SLP.DF12  ,LH_DF_SLP.DF23  ,LH_DF_SLP.DF34  ,LH_DF_SLP.SLP0  ,LH_DF_SLP.SLP1  ,LH_DF_SLP.SLP2  ,LH_DF_SLP.SLP3  ,LH_DF_SLP.SLP4  ,LH_DF_SLP.MS0   ,LH_DF_SLP.MS1   ,LH_DF_SLP.MS2   ,LH_DF_SLP.MS3   ,LH_DF_SLP.MS0_HT,LH_ZDF.LS    ,LH_ZDF.US    ,LH_ZDF.MAB   ,LH_ZDF.ZFS   ,LH_ZDF.MA_US ,LH_ZDF.MA_LS ,LH_ZDF.LABEL_BSP,LH_ZDF.BIAS0 ,LH_ZDF.BIAS1 ,LH_ZDF.BIAS2 ,LH_ZDF.BIAS3 ,LH_ZDF.BIAS4 
 2022/11/04-14:15,3574,3576,3568,3573,29810,3569.43,3559.12,3545.95,3537.94,3526.35,0,0,0,0,0,0,0,0,0,29810,38509.6,29764.88,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,3.19,3.72,2.27,3.28,1000.25,1000.41,1000.39,1000.34,1000.22,1000.53,1000.54,1000.45,1000.37,1000.35,5,2,4.15,0.24,1.8,2.35,           ,0.73,3.9,7.63,9.91,13.23
 2022/11/04-14:20,3572,3575,3569,3570,18224,3569.55,3560.15,3547.13,3538.99,3527.07,0,0,0,0,0,0,0,0,0,18224,37317.6,29814,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,2.87,3.68,2.3,3.37,1000.03,1000.29,1000.33,1000.3,1000.2,1000.4,1000.48,1000.42,1000.35,1000.14,1,3,3.8,0.53,1.85,2.3,           ,-0.09,2.77,6.45,8.76,12.17
 2022/11/04-14:25,3570,3571,3556,3560,58538,3567.64,3560.14,3547.76,3539.68,3527.61,1,0,1,0,0,0,0,0,0,58538,30135.1,30793.13,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,2.23,3.5,2.28,3.41,999.46,1000,1000.18,1000.19,1000.15,1000.05,1000.3,1000.33,1000.3,999.75,4,1,4.25,2.35,1.7,2.35,           ,-2.25,-0.04,3.45,5.74,9.18
 2022/11/04-14:30,3560,3566,3554,3557,33978,3565.51,3559.84,3548.21,3540.25,3528.1,0,0,0,0,0,0,0,0,0,33978,30190.1,30967.85,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.62,3.29,2.25,3.43,999.4,999.92,1000.13,1000.16,1000.14,999.79,1000.15,1000.26,1000.25,999.43,3,6,4.25,0.71,2,2.3,           ,-2.4,-0.8,2.48,4.73,8.19
 2022/11/04-14:35,3558,3562,3557,3559,18631,3564.21,3559.76,3548.73,3540.86,3528.61,0,0,0,0,0,0,0,0,0,18631,28834.7,30829,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.23,3.11,2.22,3.46,999.63,999.98,1000.15,1000.17,1000.14,999.63,1000.05,1000.2,1000.21,999.52,1,3,4.05,0.25,2.05,2.35,           ,-1.43,-0.21,2.89,5.12,8.61
 2022/11/04-14:40,3559,3562,3553,3553,26412,3561.97,3559.12,3548.94,3541.26,3529.01,0,0,0,0,0,0,0,0,0,26412,29154.6,30849.93,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,0.71,2.87,2.17,3.46,999.37,999.82,1000.06,1000.11,1000.11,999.47,999.93,1000.13,1000.16,999.5,0,3,4.3,1.4,2,2.15,           ,-2.43,-1.72,1.14,3.32,6.8
 2022/11/04-14:45,3554,3556,3546,3553,55012,3560.17,3558.53,3549.14,3541.65,3529.41,0,0,0,0,0,0,0,0,0,55012,33004.4,31861.7,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,0.33,2.65,2.12,3.45,999.5,999.84,1000.06,1000.11,1000.11,999.48,999.89,1000.1,1000.14,999.43,7,2,4.15,0.24,2,2.4,           ,-1.89,-1.56,1.09,3.21,6.68
 2022/11/04-14:50,3553,3557,3548,3556,31298,3559.34,3558.29,3549.47,3542.12,3529.85,0,0,0,0,0,0,0,0,0,31298,34113.8,31307.78,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,0.17,2.49,2.08,3.46,999.77,999.93,1000.09,1000.13,1000.12,999.57,999.89,1000.09,1000.13,999.63,5,1,4.05,0.74,2.05,2.6,           ,-0.81,-0.64,1.84,3.92,7.41
 2022/11/04-14:55,3556,3566,3555,3563,35149,3560.07,3558.74,3550.13,3542.8,3530.4,0,0,1,0,0,0,0,0,0,35149,34194.7,31380.57,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,0.3,2.43,2.07,3.5,1000.21,1000.13,1000.19,1000.19,1000.16,999.71,999.93,1000.1,1000.14,999.99,1,3,4.15,1.69,2.1,2.55,           ,0.9,1.2,3.62,5.7,9.23
 2022/11/04-15:00,3563,3565,3561,3562,38660,3560.46,3559.05,3550.71,3543.43,3530.92,0,0,0,0,0,0,0,1,0,38660,34571.2,31996.38,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,0.35,2.35,2.06,3.53,1000.11,1000.09,1000.16,1000.18,1000.15,999.89,1000,1000.12,1000.15,1000.16,1,2,3.9,0.26,2.2,2.55,           ,0.48,0.83,3.18,5.24,8.8
 2022/11/07-21:05,3585,3591,3578,3584,104142,3565.17,3561.43,3552.34,3544.76,3531.8,1,0,1,1,0,0,0,0,0,104142,42004.4,34160.2,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.17,2.56,2.14,3.66,1001.32,1000.67,1000.46,1000.38,1000.25,1000.35,1000.2,1000.23,1000.22,1000.72,6,6,3.9,0.26,2.35,2.7,           ,5.17,6.34,8.91,11.07,14.78
 2022/11/07-21:10,3583,3591,3576,3579,49050,3567.93,3563.1,3553.64,3545.88,3532.58,0,0,0,0,0,0,0,0,0,49050,45087,33998.45,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.54,2.67,2.19,3.75,1000.78,1000.47,1000.37,1000.32,1000.22,1000.6,1000.34,1000.29,1000.27,1001.05,3,8,3.7,1.08,2.75,2.7,           ,2.93,4.46,7.14,9.34,13.14
 2022/11/07-21:15,3579,3583,3575,3582,31002,3570.75,3564.9,3555.02,3547.07,3533.4,0,0,0,0,0,0,0,0,0,31002,42333.4,34104.68,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.87,2.79,2.24,3.85,1000.79,1000.51,1000.39,1000.33,1000.23,1000.75,1000.43,1000.34,1000.3,1000.78,4,1,3.5,0.86,2.65,2.75,           ,2.93,4.8,7.59,9.85,13.76
 2022/11/07-21:20,3582,3583,3572,3577,29884,3572,3566.05,3556.09,3548.05,3534.12,0,0,0,0,0,0,0,0,0,29884,41924,34399.45,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.89,2.81,2.27,3.93,1000.35,1000.32,1000.3,1000.28,1000.2,1000.81,1000.49,1000.38,1000.33,1000.57,5,1,3.6,1.39,2.7,2.85,           ,1.19,3.07,5.88,8.16,12.13
 2022/11/07-21:25,3576,3579,3569,3571,34507,3571.8,3566.52,3556.82,3548.8,3534.73,0,0,0,0,0,0,0,0,0,34507,43511.6,34856,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.65,2.73,2.26,3.97,999.94,1000.13,1000.2,1000.21,1000.17,1000.46,1000.36,1000.32,1000.28,1000.15,2,3,3.7,1.35,2.75,2.75,           ,-0.38,1.25,3.99,6.26,10.26
 2022/11/07-21:30,3570,3572,3566,3568,24224,3571.04,3566.66,3557.37,3549.43,3535.28,0,0,0,0,0,0,0,0,0,24224,43292.8,34900.55,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.33,2.62,2.24,3.99,999.79,1000.04,1000.15,1000.18,1000.16,1000.22,1000.25,1000.26,1000.25,999.87,2,2,3.75,0.53,2.7,2.7,           ,-0.95,0.37,2.99,5.23,9.26
 2022/11/07-21:35,3567,3575,3567,3572,25653,3571.23,3567.17,3558.08,3550.17,3535.88,0,0,0,0,0,0,0,0,0,25653,40356.9,34907.48,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.23,2.56,2.23,4.02,1000.05,1000.14,1000.2,1000.21,1000.17,1000.03,1000.16,1000.22,1000.22,999.92,0,3,3.8,1.32,2.75,2.65,           ,0.13,1.35,3.91,6.15,10.21
 2022/11/07-21:40,3571,3574,3567,3574,14664,3571.78,3567.82,3558.86,3550.95,3536.51,0,0,0,0,0,0,0,0,0,14664,38693.5,34648.77,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.2,2.53,2.23,4.07,1000.16,1000.18,1000.22,1000.22,1000.18,999.99,1000.12,1000.19,1000.2,1000.1,4,0,3.7,0.81,2.7,2.85,           ,0.54,1.73,4.26,6.49,10.6
 2022/11/07-21:45,3573,3576,3570,3573,13295,3572.03,3568.32,3559.55,3551.67,3537.12,0,0,0,0,0,0,0,0,0,13295,36508.1,34569.73,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.12,2.47,2.22,4.1,1000.07,1000.14,1000.19,1000.2,1000.17,1000.02,1000.13,1000.19,1000.2,1000.11,3,3,3.3,0,2.85,2.95,0,0.2,1.31,3.78,6,10.15
 2022/11/07-21:50,3573,3577,3571,3573,13336,3572.22,3568.76,3560.2,3552.37,3537.71,0,0,0,0,0,0,0,0,0,13336,33975.7,34549.5,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.04,2.41,2.2,4.13,1000.05,1000.13,1000.18,1000.2,1000.17,1000.08,1000.15,1000.2,1000.21,1000.06,2,4,3.15,0,2.85,2.95,0,0.16,1.19,3.59,5.81,9.98
 2022/11/07-21:55,3573,3577,3571,3575,12093,3572.78,3569.36,3560.92,3553.12,3538.33,0,0,0,0,0,0,0,0,0,12093,24770.8,33957.7,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.03,2.37,2.2,4.16,1000.16,1000.17,1000.2,1000.21,1000.17,1000.11,1000.15,1000.2,1000.21,1000.11,2,2,3.2,0.63,2.85,2.8,0,0.56,1.58,3.95,6.16,10.37
 2022/11/07-22:00,3576,3578,3573,3577,8484,3573.62,3570.08,3561.71,3553.9,3538.96,0,0,0,0,0,0,0,0,0,8484,20714.2,33226.57,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.07,2.36,2.2,4.2,1000.24,1000.2,1000.22,1000.22,1000.18,1000.13,1000.16,1000.2,1000.21,1000.2,3,1,3.15,0.32,2.75,2.9,0,0.87,1.94,4.29,6.5,10.75
 2022/11/07-22:05,3577,3581,3575,3576,16578,3574.1,3570.65,3562.41,3554.62,3539.58,0,0,0,0,0,0,0,0,0,16578,19271.8,32467.65,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.05,2.32,2.19,4.23,1000.13,1000.16,1000.2,1000.2,1000.17,1000.14,1000.16,1000.2,1000.21,1000.18,1,4,2.7,0.37,2.9,2.75,0,0.46,1.5,3.82,6.01,10.29
 2022/11/07-22:10,3576,3579,3573,3576,11445,3574.48,3571.16,3563.07,3555.32,3540.18,0,0,0,0,0,0,0,0,0,11445,17427.9,32057.45,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1,2.28,2.18,4.26,1000.11,1000.14,1000.19,1000.2,1000.17,1000.16,1000.17,1000.2,1000.21,1000.12,3,3,2.55,0,2.75,2.75,0,0.36,1.36,3.63,5.82,10.12
 2022/11/07-22:15,3575,3577,3572,3575,11039,3574.58,3571.52,3563.65,3555.97,3540.75,0,0,0,0,0,0,0,0,0,11039,15081.1,31886.97,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,0.92,2.21,2.16,4.28,1000.03,1000.1,1000.16,1000.18,1000.16,1000.13,1000.15,1000.19,1000.2,1000.07,3,2,2.5,0,2.7,2.85,0,0.06,0.97,3.18,5.35,9.67
 2022/11/07-22:20,3575,3578,3574,3578,9762,3575.27,3572.14,3564.35,3556.69,3541.37,0,0,1,0,0,0,0,0,0,9762,13634.9,31485.32,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,0.95,2.19,2.15,4.31,1000.19,1000.17,1000.2,1000.2,1000.17,1000.11,1000.14,1000.19,1000.2,1000.11,1,0,2.35,1.28,2.55,2.9,0,0.7,1.64,3.83,5.99,10.34
 2022/11/07-22:25,3577,3582,3575,3580,15768,3576.21,3572.89,3565.11,3557.46,3542.01,0,0,0,0,0,0,0,0,0,15768,12646.4,31416.38,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.02,2.19,2.15,4.34,1000.26,1000.21,1000.21,1000.21,1000.18,1000.15,1000.16,1000.19,1000.2,1000.23,2,2,2.45,1.22,2.55,2.65,0,0.98,1.99,4.18,6.34,10.73
 2022/11/07-22:30,3581,3584,3578,3584,15161,3577.77,3573.95,3566.04,3558.33,3542.7,0,0,0,0,0,0,0,0,0,15161,12696.1,31141.13,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,           ,           ,1.19,2.22,2.17,4.39,1000.44,1000.3,1000.26,1000.24,1000.2,1000.23,1000.2,1000.21,1000.21,1000.35,3,0,2.45,1.22,2.5,2.55,0,1.63,2.81,5.04,7.22,11.66
 2022/11/07-22:35,3584,3589,3582,3587,26800,3579.62,3575.19,3567.06,3559.27,3543.43,0,0,0,0,0,0,0,0,0,26800,14046.6,30368.05,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,2.28,2.19,4.45,1000.52,1000.35,1000.29,1000.26,1000.21,1000.35,1000.26,1000.24,1000.23,1000.48,2,2,2.25,1.33,2.45,2.6,0,1.92,3.3,5.59,7.79,12.29
 2022/11/07-22:40,3587,3590,3585,3585,22301,3580.69,3576.12,3567.93,3560.11,3544.12,0,0,0,0,0,0,0,0,0,22301,14943.1,30283.4,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,2.3,2.2,4.49,1000.3,1000.26,1000.25,1000.24,1000.19,1000.38,1000.28,1000.25,1000.24,1000.41,0,3,2.3,0.87,2.5,2.55,0,1.06,2.48,4.78,6.99,11.53
 2022/11/07-22:45,3585,3587,3582,3584,15726,3581.35,3576.87,3568.72,3560.89,3544.78,0,0,0,0,0,0,0,0,0,15726,15306.4,30147.8,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,2.29,2.2,4.52,1000.18,1000.21,1000.22,1000.22,1000.19,1000.36,1000.28,1000.25,1000.24,1000.24,2,2,2.3,0.43,2.3,2.35,0,0.61,1.99,4.28,6.49,11.06
 2022/11/07-22:50,3584,3593,3582,3592,18127,3583.48,3578.31,3569.85,3561.91,3545.56,1,0,1,0,0,0,0,0,0,18127,16270.7,29847.38,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.62,2.38,2.23,4.59,1000.59,1000.4,1000.32,1000.29,1000.22,1000.4,1000.31,1000.27,1000.25,1000.39,2,1,2.5,3.2,1.95,2.3,0,2.21,3.82,6.2,8.45,13.1
 2022/11/07-22:55,3591,3596,3589,3594,30775,3585.59,3579.81,3571.03,3562.97,3546.36,0,0,0,0,0,0,0,0,0,30775,17690.4,27357.68,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82,2.46,2.26,4.66,1000.59,1000.42,1000.33,1000.3,1000.23,1000.42,1000.32,1000.28,1000.26,1000.59,2,2,2.5,1.2,2,2.2,0,2.15,3.96,6.43,8.71,13.43
 2022/11/07-23:00,3594,3607,3591,3594,65947,3587.27,3581.16,3572.15,3563.98,3547.15,0,0,0,0,0,0,0,0,0,65947,23140.6,28170.65,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,           ,           ,           ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.92,2.53,2.29,4.72,1000.47,1000.38,1000.31,1000.29,1000.22,1000.46,1000.35,1000.3,1000.27,1000.53,3,13,2.25,0,2.6,2.1,2,1.67,3.59,6.12,8.42,13.21
 2022/11/07-09:05,3565,3565,3538,3538,198722,3577.42,3577.05,3570.49,3563.13,3547,1,0,1,1,0,0,0,0,0,198722,41908.9,32334.07,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,           ,           ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04,1.84,2.06,4.53,997.25,998.85,999.53,999.76,999.96,999.73,1000.01,1000.12,1000.16,998.86,0,0,3.35,8.06,2.45,2,0,-10.87,-10.92,-9.1,-7.05,-2.54
 2022/11/07-09:10,3538,3541,3530,3530,81822,3567.93,3572.57,3568.51,3562.04,3546.72,0,0,0,0,0,0,0,0,0,81822,49114.9,33799.3,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,           ,           ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.71,1.14,1.82,4.3,997.35,998.75,999.45,999.7,999.92,998.91,999.6,999.91,1000.01,997.3,0,3,3.65,2.19,2.5,1.9,0,-10.23,-11.92,-10.79,-9,-4.71
 2022/11/07-09:15,3530,3543,3530,3541,46168,3562.55,3569.56,3567.17,3561.35,3546.62,1,0,0,1,0,0,0,0,0,46168,52154.9,34540.65,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,           ,           ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2.46,0.67,1.63,4.14,998.49,999.16,999.62,999.81,999.97,998.39,999.28,999.73,999.89,997.92,0,2,3.95,2.78,2.45,1.9,0,-5.56,-8,-7.34,-5.72,-1.59
 2022/11/07-09:20,3541,3546,3538,3542,30626,3558.44,3566.94,3565.94,3560.72,3546.55,0,0,0,0,0,0,0,0,0,30626,53701.4,34801.2,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,           ,           ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.89,0.28,1.47,3.98,998.85,999.26,999.66,999.82,999.98,997.98,999.01,999.57,999.77,998.67,3,4,3.85,0.26,2.65,1.85,0,-4.11,-6.99,-6.71,-5.26,-1.28
 2022/11/07-09:25,3541,3546,3537,3545,25820,3555.75,3564.85,3564.92,3560.21,3546.52,0,0,0,0,0,0,0,0,0,25820,53603.4,34588.2,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,           ,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.03,-0.02,1.32,3.84,999.24,999.41,999.71,999.86,999.99,998.48,999.15,999.61,999.79,999.05,4,1,4.05,0.99,2.55,1.9,0,-2.55,-5.57,-5.59,-4.27,-0.43
 2022/11/07-09:30,3544,3550,3543,3550,24353,3554.6,3563.43,3564.19,3559.87,3546.58,0,0,0,0,0,0,0,0,0,24353,53808.6,34324.65,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,           ,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2.89,-0.21,1.21,3.73,999.68,999.6,999.8,999.91,1000.02,999.06,999.36,999.7,999.85,999.46,1,0,4.35,1.38,2.35,1.85,0,-0.89,-3.77,-3.98,-2.77,0.96
 2022/11/07-09:35,3550,3552,3543,3545,27893,3552.68,3561.68,3563.26,3559.38,3546.55,0,0,0,0,0,0,0,0,0,27893,55025.3,34276.73,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,           ,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.91,-0.44,1.09,3.6,999.46,999.51,999.74,999.86,999.99,999.31,999.45,999.73,999.86,999.57,2,2,4.5,1.11,2.35,1.85,0,-1.78,-4.68,-5.12,-4.04,-0.44
 2022/11/07-09:40,3545,3550,3542,3547,14731,3551.54,3560.28,3562.46,3558.98,3546.56,0,0,0,0,0,0,0,0,0,14731,54685.7,34189.4,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,           ,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78,-0.61,0.98,3.49,999.68,999.61,999.78,999.89,1000,999.52,999.53,999.76,999.88,999.57,3,3,4.55,0.44,2.45,1.85,0,-0.95,-3.73,-4.34,-3.37,0.12
 2022/11/07-09:45,3547,3550,3543,3548,13830,3550.83,3559.11,3561.76,3558.62,3546.58,0,0,0,0,0,0,0,0,0,13830,52991.2,33071.7,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,           ,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.6,-0.74,0.88,3.38,999.8,999.67,999.8,999.9,1000.01,999.65,999.6,999.78,999.89,999.74,4,2,4.55,0.22,2.35,2,0,-0.52,-3.12,-3.86,-2.98,0.4
 2022/11/07-09:50,3549,3551,3546,3548,16408,3550.27,3558.05,3561.09,3558.27,3546.61,0,0,0,0,0,0,0,0,0,16408,48037.3,32632.45,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,           ,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.42,-0.85,0.79,3.28,999.84,999.7,999.81,999.9,1000.01,999.7,999.62,999.78,999.89,999.82,2,2,4.6,0.22,2.3,1.95,0,-0.4,-2.83,-3.67,-2.89,0.39
 2022/11/07-09:55,3549,3551,3541,3541,19374,3548.41,3556.43,3560.11,3557.7,3546.51,0,0,0,0,0,0,0,0,0,19374,30102.5,32651.03,           ,           ,0,           ,0,0,0,0,0,           ,           ,           ,           ,0,0,0,           ,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2.49,-1.03,0.68,3.14,999.48,999.54,999.72,999.84,999.97,999.7,999.63,999.78,999.88,999.66,0,2,5,1.6,2.3,1.8,0,-1.85,-4.34,-5.37,-4.69,-1.55
